user_id,timestamp,channel,device,country,step,revenue_usd
U00001,2025-03-28 00:00:00,Naver,desktop,KR,view,
U00002,2025-03-28 00:00:00,Naver,mobile,KR,view,
U00003,2025-02-01 00:00:00,Baidu,mobile,JP,view,
U00004,2025-02-24 00:00:00,Facebook,mobile,TW,view,
U00005,2025-03-11 00:00:00,Email,desktop,TW,view,
U00005,2025-03-11 01:00:00,Email,desktop,TW,search,
U00006,2025-02-01 00:00:00,Direct,mobile,KR,view,
U00007,2025-01-27 00:00:00,Naver,desktop,KR,view,
U00008,2025-01-16 00:00:00,Naver,desktop,TH,view,
U00009,2025-01-26 00:00:00,Google,desktop,TH,view,
U00010,2025-02-08 00:00:00,Baidu,desktop,JP,view,
U00011,2025-03-28 00:00:00,Facebook,desktop,JP,view,
U00012,2025-01-28 00:00:00,Naver,desktop,TW,view,
U00013,2025-01-25 00:00:00,Direct,desktop,JP,view,
U00014,2025-01-16 00:00:00,Baidu,desktop,TH,view,
U00015,2025-01-29 00:00:00,Google,mobile,JP,view,
U00016,2025-03-20 00:00:00,Facebook,desktop,TH,view,
U00017,2025-03-10 00:00:00,Baidu,mobile,TW,view,
U00018,2025-02-09 00:00:00,Facebook,mobile,KR,view,
U00019,2025-03-31 00:00:00,Email,desktop,JP,view,
U00020,2025-02-16 00:00:00,Direct,mobile,SG,view,
U00020,2025-02-16 01:00:00,Direct,mobile,SG,search,
U00021,2025-01-02 00:00:00,Facebook,desktop,SG,view,
U00022,2025-03-27 00:00:00,Naver,mobile,SG,view,
U00023,2025-01-05 00:00:00,Email,desktop,TH,view,
U00024,2025-03-04 00:00:00,Baidu,mobile,SG,view,
U00025,2025-02-09 00:00:00,Google,desktop,TW,view,
U00026,2025-01-02 00:00:00,Facebook,desktop,TH,view,
U00027,2025-03-26 00:00:00,Baidu,desktop,TW,view,
U00028,2025-01-01 00:00:00,Direct,desktop,TH,view,
U00029,2025-01-30 00:00:00,Facebook,desktop,SG,view,
U00030,2025-02-03 00:00:00,Facebook,mobile,JP,view,
U00031,2025-01-28 00:00:00,Baidu,mobile,JP,view,
U00032,2025-03-11 00:00:00,Facebook,desktop,KR,view,
U00032,2025-03-11 01:00:00,Facebook,desktop,KR,search,
U00032,2025-03-11 02:00:00,Facebook,desktop,KR,detail,
U00033,2025-02-25 00:00:00,Facebook,mobile,SG,view,
U00034,2025-01-12 00:00:00,Direct,desktop,TH,view,
U00035,2025-02-04 00:00:00,Facebook,mobile,SG,view,
U00036,2025-03-19 00:00:00,Email,mobile,SG,view,
U00037,2025-03-22 00:00:00,Google,mobile,JP,view,
U00038,2025-03-14 00:00:00,Direct,desktop,TW,view,
U00039,2025-02-11 00:00:00,Email,mobile,KR,view,
U00040,2025-03-20 00:00:00,Direct,mobile,TW,view,
U00041,2025-03-01 00:00:00,Google,mobile,SG,view,
U00042,2025-02-22 00:00:00,Direct,desktop,SG,view,
U00043,2025-02-01 00:00:00,Baidu,desktop,TH,view,
U00044,2025-03-02 00:00:00,Baidu,mobile,TW,view,
U00045,2025-01-07 00:00:00,Facebook,desktop,JP,view,
U00046,2025-03-09 00:00:00,Direct,desktop,TH,view,
U00046,2025-03-09 01:00:00,Direct,desktop,TH,search,
U00046,2025-03-09 02:00:00,Direct,desktop,TH,detail,
U00047,2025-02-26 00:00:00,Baidu,mobile,JP,view,
U00048,2025-02-13 00:00:00,Facebook,mobile,JP,view,
U00049,2025-02-08 00:00:00,Direct,desktop,SG,view,
U00050,2025-01-09 00:00:00,Naver,desktop,KR,view,
U00051,2025-02-28 00:00:00,Email,mobile,TH,view,
U00052,2025-03-20 00:00:00,Naver,desktop,TW,view,
U00053,2025-01-27 00:00:00,Google,desktop,JP,view,
U00054,2025-01-13 00:00:00,Direct,desktop,TW,view,
U00055,2025-02-26 00:00:00,Google,mobile,TW,view,
U00056,2025-01-04 00:00:00,Naver,desktop,SG,view,
U00057,2025-01-20 00:00:00,Facebook,mobile,TH,view,
U00058,2025-03-21 00:00:00,Baidu,mobile,JP,view,
U00059,2025-03-16 00:00:00,Email,desktop,TW,view,
U00060,2025-01-16 00:00:00,Naver,mobile,KR,view,
U00061,2025-01-08 00:00:00,Google,desktop,JP,view,
U00061,2025-01-08 01:00:00,Google,desktop,JP,search,
U00061,2025-01-08 02:00:00,Google,desktop,JP,detail,
U00062,2025-02-23 00:00:00,Google,desktop,SG,view,
U00063,2025-03-02 00:00:00,Facebook,desktop,JP,view,
U00064,2025-02-24 00:00:00,Baidu,mobile,TW,view,
U00065,2025-03-12 00:00:00,Baidu,desktop,TH,view,
U00065,2025-03-12 01:00:00,Baidu,desktop,TH,search,
U00066,2025-03-21 00:00:00,Naver,desktop,SG,view,
U00067,2025-01-06 00:00:00,Baidu,mobile,SG,view,
U00067,2025-01-06 01:00:00,Baidu,mobile,SG,search,
U00068,2025-02-23 00:00:00,Direct,desktop,SG,view,
U00069,2025-03-15 00:00:00,Email,mobile,TH,view,
U00069,2025-03-15 01:00:00,Email,mobile,TH,search,
U00070,2025-01-27 00:00:00,Email,desktop,TW,view,
U00071,2025-03-06 00:00:00,Naver,desktop,KR,view,
U00072,2025-02-16 00:00:00,Direct,desktop,SG,view,
U00072,2025-02-16 01:00:00,Direct,desktop,SG,search,
U00073,2025-01-20 00:00:00,Facebook,mobile,JP,view,
U00074,2025-02-27 00:00:00,Email,desktop,TW,view,
U00074,2025-02-27 01:00:00,Email,desktop,TW,search,
U00075,2025-02-18 00:00:00,Google,mobile,KR,view,
U00076,2025-02-05 00:00:00,Email,desktop,JP,view,
U00077,2025-03-22 00:00:00,Naver,desktop,JP,view,
U00078,2025-01-09 00:00:00,Google,mobile,TH,view,
U00079,2025-01-10 00:00:00,Facebook,mobile,TH,view,
U00080,2025-03-04 00:00:00,Facebook,desktop,SG,view,
U00081,2025-01-29 00:00:00,Naver,mobile,JP,view,
U00082,2025-03-05 00:00:00,Baidu,mobile,KR,view,
U00083,2025-03-22 00:00:00,Email,mobile,SG,view,
U00083,2025-03-22 01:00:00,Email,mobile,SG,search,
U00084,2025-03-22 00:00:00,Facebook,mobile,KR,view,
U00085,2025-03-13 00:00:00,Naver,desktop,TW,view,
U00086,2025-01-20 00:00:00,Email,desktop,TW,view,
U00087,2025-03-05 00:00:00,Facebook,desktop,TH,view,
U00088,2025-02-13 00:00:00,Google,mobile,TW,view,
U00089,2025-01-05 00:00:00,Facebook,desktop,JP,view,
U00090,2025-01-29 00:00:00,Email,mobile,KR,view,
U00090,2025-01-29 01:00:00,Email,mobile,KR,search,
U00091,2025-01-12 00:00:00,Baidu,mobile,KR,view,
U00092,2025-01-13 00:00:00,Facebook,mobile,SG,view,
U00093,2025-01-11 00:00:00,Baidu,desktop,JP,view,
U00094,2025-01-24 00:00:00,Baidu,desktop,KR,view,
U00094,2025-01-24 01:00:00,Baidu,desktop,KR,search,
U00095,2025-02-08 00:00:00,Google,desktop,TH,view,
U00096,2025-01-04 00:00:00,Baidu,desktop,TW,view,
U00097,2025-03-05 00:00:00,Google,desktop,KR,view,
U00098,2025-02-21 00:00:00,Direct,desktop,TW,view,
U00098,2025-02-21 01:00:00,Direct,desktop,TW,search,
U00098,2025-02-21 02:00:00,Direct,desktop,TW,detail,
U00098,2025-02-21 03:00:00,Direct,desktop,TW,checkout,
U00099,2025-03-26 00:00:00,Naver,desktop,SG,view,
